,i-0add55f3b18ffbaee,i-0f4028187d206ea5b,i-0ab69ff34d88f1c52,i-04050752abe93232f,i-0173350bad13abf2b,i-0d009a53602654ab4,i-08781cdf4020898e2,i-08b39ea0fe3a6ce3b,i-00502a176aefc8a9d,i-07595e12855e208d0,i-08a2923ca87c9a3ee,i-0e911c3c755b28868,i-04fc34b23b001cde8,i-0b58a08accabfdf5f,i-0ca9232cf84395ad3,i-0bf312cadc3223ca6,i-0e2dcc3adc9be7dfe,i-02e51a7d47a174fff,i-0db0859d31f44ce77,i-0c3fb55e16feec0ac,i-078c0be602ef41a9f,i-02942e6258d3370d3,i-04936be18635c9c48,i-0e4114a6226b11d88,i-0b22986e39b94f490,i-021daf827c2428cc5,i-04354bc4f3bf7ff18,i-0bc11170e5f9890d9,i-0783a1718e37395d7,i-0fce2ce35d7569e53,i-0ffd0af1dd6e3abc8,i-0de65482c582ff989,i-03091d9efca02e390,i-035d38aee61909c23,i-05612a6661534f66b,i-03677572e91f4c058,i-033c96d7f15372a6a,i-0500b9691511540f0,i-0a7786e7692be5939,i-0e6a6a169ea717c7e,i-0f3f36223e262ec15,i-0ffec7a3789d0d945,i-0a180bdb1e30de02a,i-06fe249db6acc2b65,i-058dc6dfcab0f04aa,i-0134bbab42fffa708,i-02ed3626b327f8999,i-0905fb4ac8c77b50f,i-0d27276f17b2f8eef,i-0952eb84b8380aeaa,i-02914117d85b289f5,i-0e333f3a76ed1034f,i-0b9b91b31750ce9d6,i-0ee7e10dd01ab4fe4,i-07cb2dec0c584eb57,i-07d44a7da645c1e12,i-0d8a0a999edc22786,i-08af7abf890da795e,i-0fb84e78f6da13a6d,i-076e0265a20ef6434,i-0adcdc28bbeab07d3,i-0067559834be626c3,i-02359dc5180350159,i-010b59b49c20e3592,i-047edee17246b065a,i-0a2d390ea5beff60d,i-06fe99a5a4ebef858,i-0a0fc1618a291166a,i-0052e36834b8171bc,i-07e47e0935eed1d52,i-0e92a535eb94aee82,i-0440fde14997a0392,i-01ffff53f5f530db0,i-047cfc9ff392a2ac3,i-035ab941ea644aa6a,i-08f1c5c3520c89df4,i-0e916551d7cf69382,i-015c98a71f63a6edc,i-0a8ac054736466e03,i-0099e0ee5b0f2cc7d,i-0256ad369d191a684,i-03b04dfa397f01ef8,i-067779961ee7c0828,i-0b1c4152cb8bafd54,i-04c6c25370149ee2c,i-0435cfd076f110fd2,i-08b8be2187563f61c,i-0cc9c2c2a31a32284,i-05b288d9d89f6cb28,i-06e5c734d670ba7ad,i-02c6991d89876d5a7,i-09383d2ebb6dfbfb8,i-01dc68410efe95d7d,i-0f51a1a8f79da60d0,i-0cda96ea402e6ad65,i-03561cd19eccc1880,i-0d0ce5cafa8cde572,i-0b720cfd2056a77b4,i-01b0bbf5625cb625d,i-07647b32d4032ee8b,i-0c87f1cc87386241e,i-0a560aafe12d055d1,i-01c7f538c2f253930,i-021b0af12ef227db9,i-0b52426633f56a4d3,i-07b4a4ee3aca44df5,i-07086ba7c862307a4,i-0be817cd89bf18aaf,i-06a258df97bda1f33,i-08c5094c9baebc4f4,i-0903b991796e83a20,i-03ec1eb7acfbe0b79,i-0f8ee451d825068ff,i-035fbe3c1593c0b7c,i-05cc4bcb848925ca7,i-002fd0a022f9cc788,i-098f6db6921ef5e84,i-05ee35bd19135145d,i-0426a02a85c0d33bf,i-0b00e3f7f8273a6df,i-0cb599f6810fad6df,i-093c157992decca89,i-0a50b582d7717ad71,i-050c67595585dc718,i-067ada6ec51a1470c,i-05821450a91051c5f,i-061d938110a7328c8,i-07a0803b2b92948e7,i-0dfadd7c8ea02398a,i-0776162653460ca52,i-0d2d02616b5cd148b,i-0957cc42e0784b2dc,i-02e1212173db11000,i-03d79e4621428acff,i-05c36f880f01e0e9b,i-031cd27d30523a422,i-0bdc6492acfff4d0a,i-024ce65cd9f58da79,i-0be4ff95764921eba,i-0085df63fb2cb62fa,i-049d8bcec55c6974e,i-0d334009a81131ec8,i-0e6ceea235d46c154,i-0f9727b8ccdbcf115,i-054d9927eb096907c,i-0bc26f99c31c8df8b,i-06db163813c22803d,i-0b7908fe5119581b1,i-00d8b3f03a0c754c9,i-008cdb0376923900c,i-0a623ee6740d3c8d3,i-0a319774329a1862b,i-0003d12da58d08f0f,i-05723d0a6c7682dc5,i-01e98f190af0f54c2,i-0d2d5d00c8d49c24a,i-0e84395cc80cfb825,i-095873f5f99c67ed8,i-0e5e1569f2df92311,i-002f40e17fb818a99,i-0aee47aa67d73c20c,i-0c81470ca8567f421,i-0f9f3f249c2d8d5d6,i-0504c759e62883272,i-00c9d5184d0deaa5f,i-06ee053e6b65ca1d6,i-0ef4c809d9ca90c7b,i-0d1268c5d315121b2,i-0166cbe41b4ed39a0,i-0841aefcfb065c1b4,i-090fbf7e49ff242d3,i-07667c3c1568d9e3e,i-0454eb83053b9dc1f,i-0e0534712ac93e50a,i-01e086d023fff1f0c,i-05bc47165770608ea,i-0ae7a6642cb636ae4,i-0ff6f4dfd7f2d1dd2,i-042b0a0821ae18bc1,i-00d040de254c8028c,i-0862d684fa1ae9f45,i-05e14ba937c86453f,i-056d9cc6c76af0473,i-027d525cf41717b98,i-056d5307801cb61ac,i-05f0d2436057b865a,i-0c994987a958fa129,i-08f0a41569f81df25,i-062c68af9df8e8228,i-06295847773fc2321,i-0de63e82e1f98d3ba,i-0d2bc12e7e301ee14,i-08843750893f0b29e,i-0f6722925f6a77ff8,i-0808cc44a4aab4238,i-08752a9d7ddbd0327,i-0e24ab94536578f93,i-03401765a1f47709c,i-07b82ce55a6a96e1e,i-0c0180953e6895cbc,i-00b15ca2ad2e2d32e,i-0f0081f85df2f607a,i-05fef913905fba511,i-09176a420d374583d,i-01fb902ba25a49354,i-020f3ef584fef166b,i-05f228ef479bcb906,i-055600d2e2cc6d5c8,i-0f77aa53edf63fa14,i-012d9b6499a5d48ef,i-050afbe2dbb8a1951,i-086c62829df259afc,i-0069bfbceb78dbb24,i-06283c0664fc53d4b,i-0d4ff0124c8aedccf,i-036a0f6495a0eca64,i-0aa73fcc119b5df80,i-09baefd121fc75af4,i-000b930b35d9d5884,i-0ec6b4c1a77db15c9,i-08bc976959701ca07,i-07eb1919ef7674026,i-0aecb7b2dafeb4cb4,i-0b38f906a68ba4444,i-0b761a2a7feea3d13,i-0dac73fab843f8ab9,i-0036b7f493df1ad59,i-08cc8e9872529fea3,i-0161c0b407854dc91,i-0debe1664f66f310b,i-02f6a4e0cdde13080,i-0f3e18abcca64b6da,i-077b4e25cafd8a314,i-044bb7d2fc2a4a14f,i-039297100074fb9a5,i-05631a8c473574665,i-042056b25f9b8441e,i-0fcdd9948e89eedba,i-004afd4cdeaac87f9,i-0f40ee6ac770504bd,i-0dda0db5753d003f0,i-0cc4445ebed379811,i-09198680c5538892d,i-03cce2ccaea46db94,i-07d634ef98d4189c9,i-0e7f13e9cf79523f1,i-0e0bd3eea59de24ec,i-0a43e52bc2b04c65b,i-0786bcfb49f3a7b2c,i-0b97dcc70153d8683,i-06807cfa83258700c,i-0c5fa0ea6e5c2f4b0,i-019598483d318c3f6,i-0884ed544151ba8d3,i-0a6b5feb9c87063e7,i-008071d2b7fb764cf,i-0992490ff3583914c,i-0140a196e85874b84
i-08a2923ca87c9a3ee,4,4,2,4,4,2,4,2,4,4,0,2,4,4,2,2,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2,4,2,2,2,2,2,4,4,4,4,2,4,4,2,2,2,2,2,4,2,4,4,2,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,4,2,2,6,2,4,2,2,2,4,2,2,4,2,2,4,2,4,2,2,4,4,2,2,2,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4,4,6,4,4,2,4,2,2,2,2,4,2,2,2,4,2,2,4,2,2,4,4,4,4,2,2,4,4,4,4,2,4,4,2,2,2,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,2,4,4,4,4,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4
i-0e911c3c755b28868,4,4,2,4,4,2,4,2,4,4,2,0,4,4,2,2,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2,4,2,2,2,2,2,4,4,4,4,2,4,4,2,2,2,2,2,4,2,4,4,2,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,4,2,2,6,2,4,2,2,2,4,2,2,4,2,2,4,2,4,2,2,4,4,2,2,2,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4,4,6,4,4,2,4,2,2,2,2,4,2,2,2,4,2,2,4,2,2,4,4,4,4,2,2,4,4,4,4,2,4,4,2,2,2,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,2,4,4,4,4,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4
i-04fc34b23b001cde8,4,4,4,4,2,4,2,4,2,2,4,4,0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,6,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,4,4,4,4,2,2,4,4,2,2,4,4,4,4,4,4,2,2,2,4,4,4,4,2,4,2,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,2,2,4,2,2,2,4,6,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,2,4,4,2,4,4
i-0b58a08accabfdf5f,4,2,4,2,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,6,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,2,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4
i-0ca9232cf84395ad3,4,4,2,4,4,2,4,2,4,4,2,2,4,4,0,2,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2,4,2,2,2,2,2,4,4,4,4,2,4,4,2,2,2,2,2,4,2,4,4,2,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,4,2,2,6,2,4,2,2,2,4,2,2,4,2,2,4,2,4,2,2,4,4,2,2,2,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4,4,6,4,4,2,4,2,2,2,2,4,2,2,2,4,2,2,4,2,2,4,4,4,4,2,2,4,4,4,4,2,4,4,2,2,2,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,2,4,4,4,4,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4
i-0bf312cadc3223ca6,4,4,2,4,4,2,4,2,4,4,2,2,4,4,2,0,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2,4,2,2,2,2,2,4,4,4,4,2,4,4,2,2,2,2,2,4,2,4,4,2,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,4,2,2,6,2,4,2,2,2,4,2,2,4,2,2,4,2,4,2,2,4,4,2,2,2,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4,4,6,4,4,2,4,2,2,2,2,4,2,2,2,4,2,2,4,2,2,4,4,4,4,2,2,4,4,4,4,2,4,4,2,2,2,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,2,4,4,4,4,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4
i-0e2dcc3adc9be7dfe,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,2,4,4,4,4,4,4,4,2,2,2,4,2,4,2,2,4,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,4,4,2,4,2,2,4,2,4,4,4,4,4,4,2,4,2,2,2,4,4,4,4,4,4,4,6,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,2,4,4,4,4,2,4,4,4,4,2,2,4,2,4,4,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,4,4,4,4,4,6,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,4,2,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,2,4,4,4,4,2,4,4,2,4,2,2
i-02e51a7d47a174fff,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,4,4,4,4,4,4,4,2,2,2,4,2,4,2,2,4,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,4,4,2,4,2,2,4,2,4,4,4,4,4,4,2,4,2,2,2,4,4,4,4,4,4,4,6,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,2,4,4,4,4,2,4,4,4,4,2,2,4,2,4,4,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,4,4,4,4,4,6,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,4,2,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,2,4,4,4,4,2,4,4,2,4,2,2
i-0db0859d31f44ce77,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
i-0c3fb55e16feec0ac,4,4,2,4,4,2,4,2,4,4,2,2,4,4,2,2,4,4,4,0,2,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2,4,2,2,2,2,2,4,4,4,4,2,4,4,2,2,2,2,2,4,2,4,4,2,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,4,2,2,6,2,4,2,2,2,4,2,2,4,2,2,4,2,4,2,2,4,4,2,2,2,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4,4,6,4,4,2,4,2,2,2,2,4,2,2,2,4,2,2,4,2,2,4,4,4,4,2,2,4,4,4,4,2,4,4,2,2,2,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,2,4,4,4,4,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4
i-078c0be602ef41a9f,4,4,2,4,4,2,4,2,4,4,2,2,4,4,2,2,4,4,4,2,0,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2,4,2,2,2,2,2,4,4,4,4,2,4,4,2,2,2,2,2,4,2,4,4,2,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,4,2,2,6,2,4,2,2,2,4,2,2,4,2,2,4,2,4,2,2,4,4,2,2,2,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4,4,6,4,4,2,4,2,2,2,2,4,2,2,2,4,2,2,4,2,2,4,4,4,4,2,2,4,4,4,4,2,4,4,2,2,2,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,2,4,4,4,4,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4
i-02942e6258d3370d3,4,4,2,4,4,2,4,2,4,4,2,2,4,4,2,2,4,4,4,2,2,0,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2,4,2,2,2,2,2,4,4,4,4,2,4,4,2,2,2,2,2,4,2,4,4,2,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,4,2,2,6,2,4,2,2,2,4,2,2,4,2,2,4,2,4,2,2,4,4,2,2,2,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4,4,6,4,4,2,4,2,2,2,2,4,2,2,2,4,2,2,4,2,2,4,4,4,4,2,2,4,4,4,4,2,4,4,2,2,2,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,2,4,4,4,4,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4
i-04936be18635c9c48,4,4,2,4,4,2,4,2,4,4,2,2,4,4,2,2,4,4,4,2,2,2,0,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2,4,2,2,2,2,2,4,4,4,4,2,4,4,2,2,2,2,2,4,2,4,4,2,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,4,2,2,6,2,4,2,2,2,4,2,2,4,2,2,4,2,4,2,2,4,4,2,2,2,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4,4,6,4,4,2,4,2,2,2,2,4,2,2,2,4,2,2,4,2,2,4,4,4,4,2,2,4,4,4,4,2,4,4,2,2,2,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,2,4,4,4,4,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4
i-0e4114a6226b11d88,4,4,2,4,4,2,4,2,4,4,2,2,4,4,2,2,4,4,4,2,2,2,2,0,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2,4,2,2,2,2,2,4,4,4,4,2,4,4,2,2,2,2,2,4,2,4,4,2,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,4,2,2,6,2,4,2,2,2,4,2,2,4,2,2,4,2,4,2,2,4,4,2,2,2,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4,4,6,4,4,2,4,2,2,2,2,4,2,2,2,4,2,2,4,2,2,4,4,4,4,2,2,4,4,4,4,2,4,4,2,2,2,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,2,4,4,4,4,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4
i-0b22986e39b94f490,4,4,4,4,2,4,2,4,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,6,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,4,4,4,4,2,2,4,4,2,2,4,4,4,4,4,4,2,2,2,4,4,4,4,2,4,2,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,2,2,4,2,2,2,4,6,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,2,4,4,2,4,4
i-021daf827c2428cc5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,0,2,2,4,2,4,2,2,4,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,4,4,2,4,2,2,4,2,4,4,4,4,4,4,2,4,2,2,2,4,4,4,4,4,4,4,6,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,2,4,4,4,4,2,4,4,4,4,2,2,4,2,4,4,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,4,4,4,4,4,6,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,4,2,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,2,4,4,4,4,2,4,4,2,4,2,2
i-04354bc4f3bf7ff18,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,0,2,4,2,4,2,2,4,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,4,4,2,4,2,2,4,2,4,4,4,4,4,4,2,4,2,2,2,4,4,4,4,4,4,4,6,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,2,4,4,4,4,2,4,4,4,4,2,2,4,2,4,4,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,4,4,4,4,4,6,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,4,2,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,2,4,4,4,4,2,4,4,2,4,2,2
i-0bc11170e5f9890d9,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,2,0,4,2,4,2,2,4,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,4,4,2,4,2,2,4,2,4,4,4,4,4,4,2,4,2,2,2,4,4,4,4,4,4,4,6,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,2,4,4,4,4,2,4,4,4,4,2,2,4,2,4,4,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,4,4,4,4,4,6,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,4,2,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,2,4,4,4,4,2,4,4,2,4,2,2
i-0783a1718e37395d7,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,6,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,2,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4
